SSDSE-C-2024,2021-2023年,City,LA03,LB00,LB01,LB011001,LB012001,LB012002,LB013001,LB013002,LB013003,LB013004,LB013005,LB013006,LB013007,LB014001,LB014002,LB014003,LB02,LB021101,LB021102,LB021103,LB021104,LB021105,LB021106,LB021107,LB021108,LB021109,LB021110,LB021111,LB021112,LB021113,LB021114,LB021115,LB021116,LB021201,LB021202,LB021203,LB021204,LB021205,LB022001,LB022002,LB022003,LB022004,LB022006,LB023001,LB023002,LB023003,LB023004,LB024001,LB024002,LB024003,LB024004,LB024005,LB03,LB031001,LB031002,LB031003,LB031004,LB031005,LB032001,LB032002,LB032003,LB032004,LB04,LB041001,LB042001,LB042002,LB042003,LB042004,LB042005,LB043001,LB05,LB051101,LB051102,LB051103,LB051104,LB051105,LB051106,LB051107,LB051108,LB051201,LB051202,LB051203,LB051204,LB051205,LB051206,LB051207,LB051208,LB051209,LB051210,LB051301,LB051302,LB051303,LB051304,LB051305,LB051306,LB051307,LB051308,LB051309,LB051310,LB051311,LB052001,LB052002,LB052003,LB052004,LB052005,LB052006,LB053001,LB053002,LB053003,LB053004,LB054001,LB054002,LB054003,LB054004,LB054005,LB054006,LB054007,LB054008,LB06,LB061001,LB061002,LB061004,LB061005,LB061006,LB061007,LB061008,LB061009,LB061010,LB061011,LB061012,LB061013,LB061014,LB061015,LB062001,LB07,LB071001,LB071002,LB072001,LB072002,LB072003,LB072004,LB072005,LB072006,LB072007,LB072008,LB072009,LB072010,LB072011,LB072012,LB072013,LB072014,LB072015,LB072016,LB08,LB080001,LB080002,LB080003,LB080004,LB080005,LB080006,LB080007,LB080008,LB080009,LB080010,LB080011,LB080012,LB080013,LB080014,LB080015,LB080016,LB09,LB091001,LB091002,LB091003,LB091004,LB091005,LB092001,LB092002,LB092003,LB092004,LB092005,LB092006,LB092007,LB092008,LB092009,LB092010,LB092011,LB092012,LB10,LB101001,LB101002,LB101003,LB101004,LB102001,LB102002,LB102003,LB103001,LB103002,LB103003,LB103004,LB103005,LB103006,LB103007,LB11,LB110001,LB110002,LB110003,LB110004,LB110005,LB110006,LB110007,LB110008,LB12,LB121101,LB121102,LB121103,LB121104,LB121105,LB121106,LB121107,LB121108,LB121109,LB121110,LB121201,LB121202,LB122001
地域コード,都道府県,市,世帯人員,食料（合計）,01　穀類,米,食パン,他のパン,生うどん・そば,乾うどん・そば,パスタ,中華麺,カップ麺,即席麺,他の麺類,小麦粉,もち,他の穀類のその他,02　魚介類,まぐろ,あじ,いわし,かつお,かれい,さけ,さば,さんま,たい,ぶり,いか,たこ,えび,かに,他の鮮魚,さしみ盛合わせ,あさり,しじみ,かき（貝）,ほたて貝,他の貝,塩さけ,たらこ,しらす干し,干しあじ,他の塩干魚介,揚げかまぼこ,ちくわ,かまぼこ,他の魚肉練製品,かつお節・削り節,魚介の漬物,魚介のつくだ煮,魚介の缶詰,他の魚介加工品のその他,03　肉類,牛肉,豚肉,鶏肉,合いびき肉,他の生鮮肉,ハム,ソーセージ,ベーコン,他の加工肉,04　乳卵類,牛乳,粉ミルク,ヨーグルト,バター,チーズ,他の乳製品,卵,05　野菜・海藻,キャベツ,ほうれんそう,はくさい,ねぎ,レタス,ブロッコリー,もやし,他の葉茎菜,さつまいも,じゃがいも,さといも,だいこん,にんじん,ごぼう,たまねぎ,れんこん,たけのこ,他の根菜,さやまめ,かぼちゃ,きゅうり,なす,トマト,ピーマン,生しいたけ,しめじ,えのきたけ,他のきのこ,他の野菜のその他,豆類,干ししいたけ,干しのり,わかめ,こんぶ,他の乾物・海藻,豆腐,油揚げ・がんもどき,納豆,他の大豆製品,こんにゃく,梅干し,だいこん漬,はくさい漬,他の野菜の漬物,こんぶつくだ煮,他の野菜・海藻のつくだ煮,他の野菜・海藻加工品のその他,06　果物,りんご,みかん,オレンジ,他の柑きつ類,梨,ぶどう,柿,桃,すいか,メロン,いちご,バナナ,キウイフルーツ,他の果物,果物加工品,07　油脂・調味料,食用油,マーガリン,食塩,しょう油,みそ,砂糖,酢,ソース,ケチャップ,マヨネーズ・マヨネーズ風調味料,ドレッシング,ジャム,カレールウ,乾燥スープ,風味調味料,ふりかけ,つゆ・たれ,他の調味料,08　菓子類,ようかん,まんじゅう,他の和生菓子,カステラ,ケーキ,ゼリー,プリン,他の洋生菓子,せんべい,ビスケット,スナック菓子,キャンデー,チョコレート,チョコレート菓子,アイスクリーム・シャーベット,他の菓子,09　調理食品,弁当,すし（弁当）,おにぎり・その他,調理パン,他の主食的調理食品,うなぎのかば焼き,サラダ,コロッケ,カツレツ,天ぷら・フライ,しゅうまい,ぎょうざ,やきとり,ハンバーグ,冷凍調理食品,そうざい材料セット,他の調理食品のその他,10　飲料,緑茶,紅茶,他の茶葉,茶飲料,コーヒー,コーヒー飲料,ココア・ココア飲料,果実・野菜ジュース,炭酸飲料,乳酸菌飲料,乳飲料,ミネラルウォーター,スポーツドリンク,他の飲料のその他,11　酒類,清酒,焼酎,ビール,ウイスキー,ワイン,発泡酒・ビール風アルコール飲料,チューハイ・カクテル,他の酒,12　外食,日本そば・うどん,中華そば,他の麺類外食,すし（外食）,和食,中華食,洋食,焼肉,ハンバーガー,他の主食的外食,喫茶代,飲酒代,学校給食
R00000,全国,全国,2.91,991375,79156,20695,10374,22201,3617,2212,1368,4503,5522,2224,707,657,1702,3374,74383,5232,993,396,1574,901,4992,824,418,1131,2846,1791,1168,3015,1617,6897,4365,496,304,807,1122,400,2221,2087,1591,589,6786,2289,1865,3145,1555,819,3015,909,2839,3383,97296,22338,32644,17615,2994,3175,4848,7737,2649,3294,49499,15229,760,13591,1289,6745,678,11205,106820,2811,1954,1244,3301,2504,2321,980,6550,1219,2776,753,1603,2469,973,3923,958,699,3271,1811,1546,3305,2082,7945,2252,1933,1738,1220,2429,4595,416,375,2981,1468,760,2785,5183,2908,4368,860,1664,1383,1070,585,5008,1191,391,2256,40672,4587,4297,538,2270,1784,3157,1023,1110,1444,982,3501,5472,2103,4760,3644,47065,4681,630,439,1783,2110,1107,792,780,685,1518,2234,1328,1366,3966,2575,1695,5348,14025,94029,688,864,9217,851,7671,2122,1750,9935,6066,4592,5844,2298,6725,2321,10858,22227,145640,17597,15118,5276,6304,17917,2637,5866,2064,2175,12554,1093,2031,2533,1597,10023,3525,37329,62810,3336,815,1618,8050,7454,5044,385,7274,7295,5154,2628,3990,1522,8245,45102,5422,6319,11837,2489,3559,9216,4919,1340,148906,5903,6664,2264,14320,21156,4250,10162,6859,5711,44573,7621,10022,9402
R01100,北海道,札幌市,2.78,927878,77764,24470,9315,18880,3199,2225,1354,4216,6009,1908,678,628,1613,3268,78260,4688,189,194,1148,1404,7768,808,625,605,1076,1620,1323,2949,2434,8220,2919,550,472,1068,2586,742,2882,2111,803,178,8793,1624,1462,3315,1078,593,4354,714,2566,4400,89510,12463,32698,16903,1711,5190,4289,8513,2838,4905,45439,12719,1159,11125,1548,8054,608,10227,103344,2889,2388,1375,3298,2367,2541,907,8719,1517,2650,308,1888,2279,993,4018,666,719,3446,1257,1654,2956,2397,7487,2549,1967,1551,1055,2298,3158,349,394,2639,1160,568,2386,4531,2278,4413,625,1616,1551,877,385,4686,977,333,2277,40194,4870,4703,477,2311,683,2378,1397,704,1638,2165,2735,5588,2216,4675,3653,43661,4659,437,421,1606,1852,930,972,683,649,1501,1721,1273,1428,3153,2260,1432,5223,13463,90427,690,464,9227,753,7272,1921,1382,11093,4890,4038,6361,2437,7343,2712,10836,19009,111881,12278,12638,5090,5121,13049,1671,4502,1380,1421,11565,952,1687,2775,1370,7252,630,28498,60110,2996,754,1214,7143,8551,5468,397,7058,9001,3483,2313,3139,1291,7302,50889,5267,5490,13817,4666,5033,9945,5153,1517,136400,5665,6099,1749,17474,21403,3255,13998,7193,4152,24593,5491,11936,13392
R02201,青森県,青森市,2.83,930707,75496,20421,8526,18440,3527,2310,1217,5710,7496,2446,596,600,1248,2960,85537,4526,676,578,1349,1679,6087,592,590,654,1609,2822,1029,2963,1708,8337,2848,342,838,471,3538,766,3638,3086,887,372,10172,1639,1807,3152,1380,487,6049,567,3398,4901,91904,15301,33418,16536,1277,3836,4560,9201,3080,4695,43633,13568,1091,12785,1095,5859,539,8696,110487,3326,2397,1219,3406,2610,2875,1459,7258,1054,2350,262,1726,2505,1133,4375,657,634,3506,2095,1353,3137,2689,7819,2132,2127,1738,1087,2918,2606,296,330,2440,1870,1203,2907,4936,2484,5642,841,2379,1824,1180,564,5002,1076,271,2790,38669,8994,3642,475,1976,680,2056,801,659,1191,1395,2994,5421,2170,2997,3217,44182,4113,746,456,1547,2013,905,926,801,611,1402,2031,1038,1506,3906,2029,1448,5967,12737,86477,570,313,8304,453,6595,2448,1660,9538,6073,3816,6664,1963,5209,2455,10885,19531,130697,16579,14553,4005,5343,14868,2119,5389,1824,2137,13856,773,1741,4356,1866,8535,1575,31177,68402,1980,385,1203,8686,7198,5984,406,10071,9833,6453,2804,2353,1850,9197,58853,6226,6960,16329,4168,3865,12935,7219,1151,96369,4697,9007,780,12312,14359,2287,7104,6445,4522,17807,3252,6424,7373
R03201,岩手県,盛岡市,3.03,980028,80403,22223,8565,21070,3365,2524,1299,6530,6777,2141,870,647,1324,3066,76776,5432,443,356,2286,1025,5403,532,620,497,1817,1790,1083,2334,1264,5847,4245,439,445,835,1863,609,4092,2346,1064,386,8782,1522,1966,3288,1127,627,4529,614,3068,4199,83671,11409,32621,14742,1333,3291,4936,8527,2802,4009,51192,16342,541,15968,1092,6825,697,9729,115957,3152,2802,1174,3137,2243,2897,1233,7624,1151,2222,776,1966,2581,1205,3964,717,552,3368,1897,1614,3448,2209,7095,2247,1941,1874,1250,3208,3887,360,348,3042,2352,1056,2871,6887,3220,6236,908,2121,1668,1423,564,5861,975,316,2314,44094,7841,4413,600,2851,1073,2922,1020,849,1712,1106,3699,5749,2348,4505,3405,48928,4422,628,461,1809,2767,953,850,628,647,1355,2050,1034,1454,4893,2497,1873,6419,14188,101823,976,612,9307,387,8545,3151,1909,9785,7037,4981,5737,1943,7068,2345,12174,25866,135914,15305,14706,4709,5127,16748,2016,5053,1847,2216,13206,920,1875,3179,1876,10989,3178,32964,67345,3226,621,1837,8499,8104,4695,415,9593,10058,4348,2641,3166,1625,8516,56963,7955,6314,15131,3335,4482,12199,6106,1439,116963,6073,8866,1792,13385,11332,2133,5571,7280,4571,30942,4379,9147,11492
R04100,宮城県,仙台市,2.95,1003139,78668,19465,9804,22211,3252,1889,1367,5082,7077,2010,737,611,1484,3680,76710,5696,529,274,2374,959,4532,510,610,488,1782,1591,1116,2488,726,6889,4007,414,430,1306,1252,425,3000,1905,1393,365,6579,1676,1340,8574,1548,692,3735,712,3114,3679,89212,13876,32951,16521,1653,4325,4578,7805,2834,4670,50848,14740,499,15148,1177,7312,780,11191,116082,2810,2548,1246,3078,2366,2796,1137,8747,1387,2707,745,1718,2444,1087,3780,808,844,3311,2337,1830,3661,2082,7194,2372,1771,2055,1267,3523,4643,410,425,2857,2528,840,3018,5281,3105,5443,1020,1886,1456,1117,636,5949,939,276,2601,43830,4868,4683,704,2752,2380,2791,1120,1467,1737,1061,3657,5043,2254,5411,3904,47175,4650,561,400,1678,2298,973,736,734,665,1399,2016,1422,1379,4613,2526,1544,5255,14326,101530,658,738,10295,606,7969,2442,1728,11196,6359,5224,6166,2310,7100,2715,11068,24956,146191,18715,14566,5822,6993,18457,2694,6462,2172,2294,12700,1135,1956,2683,1890,9033,2199,36420,66422,3679,1193,1392,7360,7813,5822,402,7138,9083,5432,2604,4102,1690,8715,51533,8072,6046,11727,4359,4925,8350,6334,1719,134939,7480,11207,3187,13369,20059,2800,10008,5289,5664,26936,7124,11362,10454
R05201,秋田県,秋田市,2.73,952812,71734,18662,7918,17541,3616,4348,1226,5697,6007,1906,549,602,1178,2485,81158,5081,961,521,1413,2129,6170,804,711,747,1998,2130,869,3082,1164,7418,4805,404,621,617,1597,653,4469,2965,901,252,8037,1490,1565,3097,1244,637,4604,1352,2883,3768,87663,14047,35183,16664,1407,2785,4118,7614,2922,2923,46390,14133,574,13185,1016,6350,547,10585,120312,3268,3050,1303,3299,2565,3023,1209,9172,1226,2510,522,1724,2556,1183,3954,660,733,3840,3356,1865,3517,2673,8381,2310,2394,1798,1292,4045,4123,551,204,2572,1975,803,3209,5684,2373,6055,609,1763,1629,1365,320,5635,993,645,2374,46044,6941,4764,536,2457,1981,2892,1040,1144,1912,2174,3369,5966,2171,5676,3020,46791,4808,514,435,1668,2638,1119,1028,608,611,1486,1914,1195,1426,3884,2405,1635,6191,13224,92072,637,753,9457,440,6482,2582,1731,10901,5130,3230,4610,1764,5632,1497,9682,27542,128043,15218,11755,4661,6221,13388,2056,5101,1507,1874,10248,939,1593,2681,1313,8946,2907,37635,60311,2998,657,1632,6639,8072,4076,324,9248,7141,4842,1850,3430,1820,7583,53869,9223,6046,13023,3382,4164,10780,5983,1268,118424,6056,9112,2061,15195,15785,1964,5841,7753,3748,24990,3845,9315,12760
R06201,山形県,山形市,3.12,1028010,80677,23953,8577,17589,4580,3335,1321,6030,6928,2072,836,682,1836,2939,75543,5585,490,217,2339,841,4645,373,502,656,2040,1974,1295,2483,994,5495,3518,496,174,908,1533,410,3790,2957,1078,258,8284,1963,1859,3825,1759,677,3942,1120,3431,3631,105439,26151,34770,16655,1617,4689,4668,8907,3566,4417,53932,16900,1127,16300,1129,6836,724,10916,116334,2609,2682,934,3258,2224,2649,1265,9307,1122,2278,1896,1493,2360,1227,3499,853,1423,3016,2154,1391,3739,2352,6173,1876,1791,1854,1472,3967,3483,477,216,2836,1926,1230,3481,5304,3295,6063,727,3080,1009,1105,820,6215,1731,353,2115,52070,6265,4368,745,2557,3414,4070,835,1373,1595,954,3816,4967,1632,11723,3757,49119,5040,482,588,2960,2774,1116,811,730,642,1623,2037,1130,1499,3854,2184,2055,5638,13956,100159,757,745,11952,447,7968,2445,1953,10454,7907,4775,6268,2177,7127,2787,12143,20254,136691,14640,13103,4772,6015,15307,2202,6065,1775,2148,14329,895,1540,3063,1779,11186,4400,33471,63710,2923,551,1483,7451,7673,4511,385,8094,10108,4532,2164,3011,2257,8568,55143,6823,6454,12989,4314,4982,10478,6896,2206,139193,7873,14741,2247,16976,19344,4323,12029,9248,5139,18627,5363,9276,14005
R07201,福島県,福島市,2.97,1008727,78797,23328,8755,19307,3287,2538,1453,4834,7198,2156,1025,650,1304,2962,73788,6359,506,315,2786,761,4492,530,536,656,1864,1605,972,2218,804,4653,3733,527,286,697,1164,333,3647,2468,1845,361,7454,2165,1721,3693,1869,638,3691,1017,3351,4074,87918,12587,37301,14432,1171,2994,5167,7656,3030,3579,52739,14697,363,15961,1069,7373,738,12537,114732,3314,2178,1273,2978,2203,2731,1136,8135,1057,2575,751,1854,2890,1075,3665,712,655,3561,1814,1665,4143,2365,7064,2081,1915,2267,1362,3198,3027,594,243,3053,1861,791,2950,5245,2918,6308,1024,1904,1466,1273,913,5836,1518,440,2751,46463,6238,4076,535,2146,2647,2706,739,7386,914,514,3500,5130,1589,4758,3585,48907,4894,458,587,1579,2553,1156,960,881,651,1684,2344,1040,1472,4326,2551,2009,6349,13415,101381,959,1731,10613,468,8032,2577,2046,8980,7062,5095,6687,2361,6906,2971,12910,21984,151523,19289,13817,5345,7226,17838,1897,8513,2443,2304,14141,988,1781,2940,2220,10919,6056,33804,70843,3170,855,1576,9533,7701,5712,390,8633,8043,5947,3371,5057,2093,8762,51267,7227,6333,14290,2514,3663,10491,5298,1452,130369,5873,9556,2333,15658,24402,3251,10342,5024,5292,21355,4588,7944,14751
R08201,茨城県,水戸市,2.72,925488,69443,18038,9339,17648,3505,2204,1275,4240,5302,1616,657,628,1714,3275,66761,5040,575,241,2787,862,5078,587,551,567,1815,1246,887,1971,848,4184,4516,327,876,591,937,208,2783,2176,2079,560,6086,1675,1231,2808,1508,706,3192,1052,3127,3084,78897,13638,30248,14467,1751,1852,4870,7232,2365,2474,49257,12796,1379,15662,1174,7357,547,10342,100951,2452,1727,987,2915,2255,2262,833,5576,955,2258,532,1631,2340,788,3486,904,379,3185,1385,1564,3141,1808,7344,2122,1912,1987,1020,2573,3891,468,247,2776,1761,592,2524,5422,2742,6151,985,1475,1463,932,456,5109,1166,345,2123,43981,5227,5384,577,2512,2287,3222,944,705,1583,3612,4039,4845,2259,3498,3286,43642,4734,498,433,1564,1990,1064,857,693,663,1503,2245,1313,1241,3782,2270,1632,4521,12637,95557,1118,1052,7895,815,7508,2127,1922,9279,8249,4554,5740,2014,6393,2288,10273,24331,139685,17997,13300,5657,7211,17462,2285,6612,1740,2123,11638,1084,1556,2709,1943,12494,2729,31145,66139,3870,973,1571,9483,7667,4874,424,6445,7064,5982,2344,5172,1601,8670,39217,5989,4958,11089,3040,3716,5687,3832,907,131958,6498,7727,2348,12799,20614,4661,14166,5336,5685,27946,6232,8164,9780
