state,fulltime_before,parttime_before,wage_before,fulltime_after,parttime_after,wage_after,full_prop_before,full_prop_after
PA,20,20,5,0,36,5.25,0.5,0
PA,6,26,5.5,28,3,4.75,0.1875,0.9032258064516129
PA,50,35,5,15,18,4.75,0.5882352941176471,0.45454545454545453
PA,10,17,5,26,9,5,0.37037037037037035,0.7428571428571429
PA,2,8,5.25,3,12,5,0.2,0.2
PA,2,10,5,2,9,5,0.16666666666666666,0.18181818181818182
PA,2.5,20,5,1,25,4.75,0.1111111111111111,0.038461538461538464
PA,40,30,5,9,32,5,0.5714285714285714,0.21951219512195122
PA,8,27,5,7,39,4.5,0.22857142857142856,0.15217391304347827
PA,10.5,30,5.5,18,10,4.75,0.25925925925925924,0.6428571428571429
PA,6,9,5,5,20,4.5,0.4,0.2
PA,5,17.5,5.25,15,4,5,0.2222222222222222,0.7894736842105263
PA,1,15,5,4,13,4.75,0.0625,0.23529411764705882
PA,10,6,5,6,20,4.75,0.625,0.23076923076923078
PA,20,13,5,5,15,4.75,0.6060606060606061,0.25
PA,5,23,5,2,19,4.25,0.17857142857142858,0.09523809523809523
PA,10,12.5,5,2,18,5,0.4444444444444444,0.1
PA,27,12,5,0,30,4.9,0.6923076923076923,0
PA,4,28,5,8,20,5,0.125,0.2857142857142857
PA,10,15,5,10,10,4.75,0.4,0.5
PA,0,28,5,0,31,5,0,0
PA,3,16,5,5.5,10,4.25,0.15789473684210525,0.3548387096774194
PA,7,16,5,5,19,4.75,0.30434782608695654,0.20833333333333334
PA,21,9,4.25,6,25,4.25,0.7,0.1935483870967742
PA,10,20,4.25,7,25,4.25,0.3333333333333333,0.21875
PA,0,27,4.25,0,42,4.25,0,0
PA,17,4,4.5,0,22,4.25,0.8095238095238095,0
PA,0,24,4.25,11,12,4.25,0,0.4782608695652174
PA,25,15,4.5,0,45,4.25,0.625,0
PA,6,20,4.25,7.5,25,4.38,0.23076923076923078,0.23076923076923078
PA,6,10,4.5,4,20,4.75,0.375,0.16666666666666666
PA,0,15,4.25,6,15,4.25,0,0.2857142857142857
PA,30,10,4.67,7,18,4.5,0.75,0.28
PA,8,25,4.75,0,28,4.5,0.24242424242424243,0
PA,0,15,4.25,0,16,4.25,0,0
PA,10,20,4.25,10,20,4.25,0.3333333333333333,0.3333333333333333
PA,2,12,4.75,1,14,4.25,0.14285714285714285,0.06666666666666667
PA,20,25,4.25,0,48,4.25,0.4444444444444444,0
PA,20,55,4.5,25,10,5.05,0.26666666666666666,0.7142857142857143
PA,15,50,4.25,19,29,4.25,0.23076923076923078,0.3958333333333333
PA,1,37.5,4.25,0,32,4.25,0.025974025974025976,0
PA,0,9,4.25,2,9,4.25,0,0.18181818181818182
PA,30,10,4.25,0,30,4.25,0.75,0
PA,4,19,4.25,5,20,4.35,0.17391304347826086,0.2
PA,12,20,4.25,10,35,4.5,0.375,0.2222222222222222
PA,8,18,4.75,8,27,4.5,0.3076923076923077,0.22857142857142856
PA,0,25,4.87,15,15,5,0,0.5
PA,2,21,4.75,27.5,8,4.75,0.08695652173913043,0.7746478873239436
PA,1,9,4.5,0,18,5,0.1,0
PA,5,20,4.25,0,20,4.35,0.2,0
PA,25,20,4.25,12,23,4.25,0.5555555555555556,0.34285714285714286
PA,37.5,2,4.25,8,25,4.9,0.9493670886075949,0.24242424242424243
PA,5,27,4.75,26,15,4.5,0.15625,0.6341463414634146
PA,25,8,4.5,10,16,4.5,0.7575757575757576,0.38461538461538464
PA,6,30,4.25,5,30,4.75,0.16666666666666666,0.14285714285714285
PA,8,28,4.25,6,20,6.25,0.2222222222222222,0.23076923076923078
PA,32,25,4.5,8,30,4.35,0.5614035087719298,0.21052631578947367
PA,1,9,4.5,4,12,4.5,0.1,0.25
PA,2,16,4.5,4,15,4.5,0.1111111111111111,0.21052631578947367
PA,20,10,4.75,21,5.5,5,0.6666666666666666,0.7924528301886793
PA,14,15,4.25,30,15,4.75,0.4827586206896552,0.6666666666666666
PA,7.5,14,4.75,35,6.5,4.5,0.3488372093023256,0.8433734939759037
PA,4,16,4.75,3,13,4.75,0.2,0.1875
PA,5,20,4.5,23,16,4.25,0.2,0.5897435897435898
PA,6,22.5,4.75,2,12,4.91,0.21052631578947367,0.14285714285714285
PA,2.5,20,4.25,0,12,4.4,0.1111111111111111,0
PA,2,30,4.35,3,23,4.25,0.0625,0.11538461538461539
NJ,2,2,5,5,2,5.05,0.5,0.7142857142857143
NJ,10,8,5.12,4,17,5.05,0.5555555555555556,0.19047619047619047
NJ,30,15,5.56,10,20,5.05,0.6666666666666666,0.3333333333333333
NJ,4,10,5,0,7,5.05,0.2857142857142857,0
NJ,6,4,5,4,3,5.05,0.6,0.5714285714285714
NJ,4,16,5.25,6,15,5.05,0.2,0.2857142857142857
NJ,12,20,5,6,11,5.05,0.375,0.35294117647058826
NJ,8,12,5.5,10,35,5.05,0.4,0.2222222222222222
NJ,6,50,5,4,60,5.05,0.10714285714285714,0.0625
NJ,13,10,5,10,12,5.05,0.5652173913043478,0.45454545454545453
NJ,25,13,5,0,45,5.05,0.6578947368421053,0
NJ,8,14.5,5,25,8,5.05,0.35555555555555557,0.7575757575757576
NJ,7,20,5.5,0,35,5.05,0.25925925925925924,0
NJ,10,6,5,6,25,5.5,0.625,0.1935483870967742
NJ,0,25,5,2,20,5.05,0,0.09090909090909091
NJ,4,26,5,5,25,5.05,0.13333333333333333,0.16666666666666666
NJ,6.5,7.5,5,3,16,5.05,0.4642857142857143,0.15789473684210525
NJ,20,20,5.25,7,18,5.05,0.5,0.28
NJ,15,25,5.5,8,22,5.05,0.375,0.26666666666666666
NJ,10,30,5.05,4,37,5.05,0.25,0.0975609756097561
NJ,5,17,5,10,8,5.28,0.22727272727272727,0.5555555555555556
NJ,8.5,6.5,5.12,6,0,5.25,0.5666666666666667,1
NJ,4.5,30,5.25,7.5,30,5.05,0.13043478260869565,0.2
NJ,35,15,5.12,12,13.5,5.05,0.7,0.47058823529411764
NJ,10,5,5,12,8,5.5,0.6666666666666666,0.6
NJ,8,25,5,26,12,5.05,0.24242424242424243,0.6842105263157895
NJ,12,18,5,1.5,33,5.05,0.4,0.043478260869565216
NJ,4,30,5,5,15,5.05,0.11764705882352941,0.25
NJ,20,10,5,10,17,5.05,0.6666666666666666,0.37037037037037035
NJ,12,33,5,20,6,5.05,0.26666666666666666,0.7692307692307693
NJ,10,20,5,20,20,5.05,0.3333333333333333,0.5
NJ,4,20,5.62,5,17.5,5.05,0.16666666666666666,0.2222222222222222
